Row,Angle,Nominativo,Gruppo
7,1,ACUNZO Nicola,Misto
8,1,ADELIZZI Cosimo,MOVIMENTO 5 STELLE
9,1,AIELLO Davide,MOVIMENTO 5 STELLE
10,1,AIELLO Piera,Misto
11,1,ALAIMO Roberta,MOVIMENTO 5 STELLE
12,1,ALBANO Lucia,FRATELLI D'ITALIA
13,1,ALEMANNO Maria Soave,MOVIMENTO 5 STELLE
14,1,AMITRANO Alessandro,MOVIMENTO 5 STELLE
15,1,ANDREUZZA Giorgia,LEGA - SALVINI PREMIER
16,1,ANGELUCCI Antonio,FORZA ITALIA - BERLUSCONI PRESIDENTE
7,2,ANGIOLA Nunzio,Misto
8,2,ANNIBALI Lucia,ITALIA VIVA
9,2,ANZALDI Michele,ITALIA VIVA
10,2,APREA Valentina,FORZA ITALIA - BERLUSCONI PRESIDENTE
11,2,APRILE Nadia,Misto
12,2,ARESTA Giovanni Luca,MOVIMENTO 5 STELLE
13,2,ASCANI Anna,PARTITO DEMOCRATICO
14,2,ASCARI Stefania,MOVIMENTO 5 STELLE
15,2,AZZOLINA Lucia,MOVIMENTO 5 STELLE
16,2,BADOLE Mirco,LEGA - SALVINI PREMIER
7,3,BAGNASCO Roberto,FORZA ITALIA - BERLUSCONI PRESIDENTE
8,3,BALDELLI Simone,FORZA ITALIA - BERLUSCONI PRESIDENTE
9,3,BALDINI Maria Teresa,FORZA ITALIA - BERLUSCONI PRESIDENTE
10,3,BALDINO Vittoria,MOVIMENTO 5 STELLE
11,3,BARATTO Raffaele,FORZA ITALIA - BERLUSCONI PRESIDENTE
12,3,BARBUTO Elisabetta Maria,MOVIMENTO 5 STELLE
13,3,BARELLI Paolo,FORZA ITALIA - BERLUSCONI PRESIDENTE
14,3,BARONI Anna Lisa,FORZA ITALIA - BERLUSCONI PRESIDENTE
15,3,BARONI Massimo Enrico,MOVIMENTO 5 STELLE
16,3,BARTOLOZZI Giusi,FORZA ITALIA - BERLUSCONI PRESIDENTE
7,4,BARZOTTI Valentina,MOVIMENTO 5 STELLE
8,4,BASINI Giuseppe,LEGA - SALVINI PREMIER
9,4,BATTELLI Sergio,MOVIMENTO 5 STELLE
10,4,BATTILOCCHIO Alessandro,FORZA ITALIA - BERLUSCONI PRESIDENTE
11,4,BAZOLI Alfredo,PARTITO DEMOCRATICO
12,4,BAZZARO Alex,LEGA - SALVINI PREMIER
13,4,BELLA Marco,MOVIMENTO 5 STELLE
14,4,BELLACHIOMA Giuseppe Ercole,LEGA - SALVINI PREMIER
15,4,BELLUCCI Maria Teresa,FRATELLI D'ITALIA
16,4,BELOTTI Daniele,LEGA - SALVINI PREMIER
7,5,BENAMATI Gianluca,PARTITO DEMOCRATICO
8,5,BENDINELLI Davide,ITALIA VIVA
9,5,BENEDETTI Silvia,Misto
10,5,BENIGNI Stefano,M-NI-USEI-C!-AC
11,5,BENVENUTO Alessandro Manuel,LEGA - SALVINI PREMIER
12,5,BERARDINI Fabio,Misto
13,5,BERGAMINI Deborah,FORZA ITALIA - BERLUSCONI PRESIDENTE
14,5,BERLINGHIERI Marina,PARTITO DEMOCRATICO
15,5,BERSANI Pier Luigi,LIBERI E UGUALI
16,5,BERTI Francesco,MOVIMENTO 5 STELLE
7,6,BIANCHI Matteo Luigi,LEGA - SALVINI PREMIER
8,6,BIANCOFIORE Michaela,FORZA ITALIA - BERLUSCONI PRESIDENTE
9,6,BIGNAMI Galeazzo,FRATELLI D'ITALIA
10,6,BILLI Simone,LEGA - SALVINI PREMIER
11,6,BILOTTI Anna,MOVIMENTO 5 STELLE
12,6,BINELLI Diego,LEGA - SALVINI PREMIER
13,6,BISA Ingrid,LEGA - SALVINI PREMIER
14,6,BITONCI Massimo,LEGA - SALVINI PREMIER
15,6,BOCCIA Francesco,PARTITO DEMOCRATICO
16,6,BOLDI Rossana,LEGA - SALVINI PREMIER
7,7,BOLDRINI Laura,PARTITO DEMOCRATICO
8,7,BOLOGNA Fabiola,Misto
9,7,BONAFEDE Alfonso,MOVIMENTO 5 STELLE
10,7,BOND Dario,FORZA ITALIA - BERLUSCONI PRESIDENTE
11,7,BONIARDI Fabio Massimo,LEGA - SALVINI PREMIER
12,7,BONOMO Francesca,PARTITO DEMOCRATICO
13,7,BORDO Michele,PARTITO DEMOCRATICO
14,7,BORDONALI Simona,LEGA - SALVINI PREMIER
15,7,BORGHESE Mario Alejandro,Maie
16,7,BORGHI Claudio,LEGA - SALVINI PREMIER
7,8,BORGHI Enrico,PARTITO DEMOCRATICO
8,8,BOSCHI Maria Elena,ITALIA VIVA
9,8,BRAGA Chiara,PARTITO DEMOCRATICO
10,8,BRAMBILLA Michela Vittoria,FORZA ITALIA - BERLUSCONI PRESIDENTE
11,8,BRESCIA Giuseppe,MOVIMENTO 5 STELLE
12,8,BRUNETTA Renato,FORZA ITALIA - BERLUSCONI PRESIDENTE
13,8,BRUNO Raffaele,MOVIMENTO 5 STELLE
14,8,BRUNO BOSSIO Vincenza,PARTITO DEMOCRATICO
15,8,BUBISUTTI Aurelia,LEGA - SALVINI PREMIER
16,8,BUCALO Carmela,FRATELLI D'ITALIA
7,9,BUFFAGNI Stefano,MOVIMENTO 5 STELLE
8,9,BUOMPANE Giuseppe,MOVIMENTO 5 STELLE
9,9,BURATTI Umberto,PARTITO DEMOCRATICO
10,9,BUSINAROLO Francesca,MOVIMENTO 5 STELLE
11,9,BUTTI Alessio,FRATELLI D'ITALIA
12,9,CABRAS Pino,MOVIMENTO 5 STELLE
13,9,CADEDDU Luciano,MOVIMENTO 5 STELLE
14,9,CAFFARATTO Gualtiero,LEGA - SALVINI PREMIER
15,9,CAIATA Salvatore,FRATELLI D'ITALIA
16,9,CALABRIA Annagrazia,FORZA ITALIA - BERLUSCONI PRESIDENTE
7,10,CAMPANA Micaela,PARTITO DEMOCRATICO
8,10,CANCELLERI Azzurra Pia Maria,MOVIMENTO 5 STELLE
9,10,CANNATELLI Pasquale,FORZA ITALIA - BERLUSCONI PRESIDENTE
10,10,CANNIZZARO Francesco,FORZA ITALIA - BERLUSCONI PRESIDENTE
11,10,CANTALAMESSA Gianluca,LEGA - SALVINI PREMIER
12,10,CANTINI Laura,PARTITO DEMOCRATICO
