Row;Angle;Nominativo;Gruppo;Color
10;0;BERSANI Pier Luigi;LIBERI E UGUALI;#711919
11;0;BORGHESE Mario Alejandro;Maie;#ebc6e9
12;0;CECCONI Andrea;Maie;#ebc6e9
13;0;CONTE Federico;LIBERI E UGUALI;#711919
14;0;DE LORENZO Rina;LIBERI E UGUALI;#711919
15;0;EPIFANI Ettore Guglielmo;LIBERI E UGUALI;#711919
16;0;FASSINA Stefano;LIBERI E UGUALI;#711919
17;0;FORNARO Federico;LIBERI E UGUALI;#711919
18;0;FRATOIANNI Nicola;LIBERI E UGUALI;#711919
19;0;LONGO Fausto;Maie;#ebc6e9
20;0;MURONI Rossella;LIBERI E UGUALI;#711919
21;0;PALAZZOTTO Erasmo;LIBERI E UGUALI;#711919
22;0;PASTORINO Luca;LIBERI E UGUALI;#711919
23;0;SPERANZA Roberto;LIBERI E UGUALI;#711919
24;0;STUMPO Nicola;LIBERI E UGUALI;#711919
10;1;TASSO Antonio;Maie;#ebc6e9
11;1;ASCANI Anna;PARTITO DEMOCRATICO;#ff0000
12;1;BAZOLI Alfredo;PARTITO DEMOCRATICO;#ff0000
13;1;BENAMATI Gianluca;PARTITO DEMOCRATICO;#ff0000
14;1;BERLINGHIERI Marina;PARTITO DEMOCRATICO;#ff0000
15;1;BOCCIA Francesco;PARTITO DEMOCRATICO;#ff0000
16;1;BOLDRINI Laura;PARTITO DEMOCRATICO;#ff0000
17;1;BONOMO Francesca;PARTITO DEMOCRATICO;#ff0000
18;1;BORDO Michele;PARTITO DEMOCRATICO;#ff0000
19;1;BORGHI Enrico;PARTITO DEMOCRATICO;#ff0000
20;1;BRAGA Chiara;PARTITO DEMOCRATICO;#ff0000
21;1;BRUNO BOSSIO Vincenza;PARTITO DEMOCRATICO;#ff0000
22;1;BURATTI Umberto;PARTITO DEMOCRATICO;#ff0000
23;1;CAMPANA Micaela;PARTITO DEMOCRATICO;#ff0000
24;1;CANTINI Laura;PARTITO DEMOCRATICO;#ff0000
10;2;CANTONE Carla;PARTITO DEMOCRATICO;#ff0000
11;2;CAPPELLANI Santi;PARTITO DEMOCRATICO;#ff0000
12;2;CARE' Nicola;PARTITO DEMOCRATICO;#ff0000
13;2;CARNEVALI Elena;PARTITO DEMOCRATICO;#ff0000
14;2;CECCANTI Stefano;PARTITO DEMOCRATICO;#ff0000
15;2;CENNI Susanna;PARTITO DEMOCRATICO;#ff0000
16;2;CIAMPI Lucia;PARTITO DEMOCRATICO;#ff0000
17;2;CRITELLI Francesco;PARTITO DEMOCRATICO;#ff0000
18;2;DAL MORO Gian Pietro;PARTITO DEMOCRATICO;#ff0000
19;2;DE FILIPPO Vito;PARTITO DEMOCRATICO;#ff0000
20;2;DEL BASSO DE CARO Umberto;PARTITO DEMOCRATICO;#ff0000
21;2;DELRIO Graziano;PARTITO DEMOCRATICO;#ff0000
22;2;DE LUCA Piero;PARTITO DEMOCRATICO;#ff0000
23;2;DE MARIA Andrea;PARTITO DEMOCRATICO;#ff0000
24;2;DE MENECH Roger;PARTITO DEMOCRATICO;#ff0000
10;3;DE MICHELI Paola;PARTITO DEMOCRATICO;#ff0000
11;3;DI GIORGI #ffc8ec Maria;PARTITO DEMOCRATICO;#ff0000
12;3;FASSINO Piero;PARTITO DEMOCRATICO;#ff0000
13;3;FIANO Emanuele;PARTITO DEMOCRATICO;#ff0000
14;3;FRAGOMELI Gian Mario;PARTITO DEMOCRATICO;#ff0000
15;3;FRAILIS Andrea;PARTITO DEMOCRATICO;#ff0000
16;3;FRANCESCHINI Dario;PARTITO DEMOCRATICO;#ff0000
17;3;GARIGLIO Davide;PARTITO DEMOCRATICO;#ff0000
18;3;GIORGIS Andrea;PARTITO DEMOCRATICO;#ff0000
19;3;GRIBAUDO Chiara;PARTITO DEMOCRATICO;#ff0000
20;3;GUALTIERI Roberto;PARTITO DEMOCRATICO;#ff0000
21;3;GUERINI Lorenzo;PARTITO DEMOCRATICO;#ff0000
22;3;INCERTI Antonella;PARTITO DEMOCRATICO;#ff0000
23;3;LACARRA Marco;PARTITO DEMOCRATICO;#ff0000
24;3;LA MARCA Francesca;PARTITO DEMOCRATICO;#ff0000
10;4;LATTANZIO Paolo;PARTITO DEMOCRATICO;#ff0000
11;4;LEPRI Stefano;PARTITO DEMOCRATICO;#ff0000
12;4;LORENZIN Beatrice;PARTITO DEMOCRATICO;#ff0000
13;4;LOSACCO Alberto;PARTITO DEMOCRATICO;#ff0000
14;4;LOTTI Luca;PARTITO DEMOCRATICO;#ff0000
15;4;MADIA Maria Anna;PARTITO DEMOCRATICO;#ff0000
16;4;MANCA Gavino;PARTITO DEMOCRATICO;#ff0000
17;4;MANCINI Claudio;PARTITO DEMOCRATICO;#ff0000
18;4;MAURI Matteo;PARTITO DEMOCRATICO;#ff0000
19;4;MELILLI Fabio;PARTITO DEMOCRATICO;#ff0000
20;4;MICELI Carmelo;PARTITO DEMOCRATICO;#ff0000
21;4;MINNITI Marco;PARTITO DEMOCRATICO;#ff0000
22;4;MORANI Alessia;PARTITO DEMOCRATICO;#ff0000
23;4;MORASSUT Roberto;PARTITO DEMOCRATICO;#ff0000
24;4;MORGONI Mario;PARTITO DEMOCRATICO;#ff0000
10;5;MURA Romina;PARTITO DEMOCRATICO;#ff0000
11;5;NARDI Martina;PARTITO DEMOCRATICO;#ff0000
12;5;NAVARRA Pietro;PARTITO DEMOCRATICO;#ff0000
13;5;NITTI Michele;PARTITO DEMOCRATICO;#ff0000
14;5;ORFINI Matteo;PARTITO DEMOCRATICO;#ff0000
15;5;ORLANDO Andrea;PARTITO DEMOCRATICO;#ff0000
16;5;PAGANI Alberto;PARTITO DEMOCRATICO;#ff0000
17;5;PAGANO Ubaldo;PARTITO DEMOCRATICO;#ff0000
18;5;PELLICANI Nicola;PARTITO DEMOCRATICO;#ff0000
19;5;PEZZOPANE Stefania;PARTITO DEMOCRATICO;#ff0000
20;5;PICCOLI NARDELLI Flavia;PARTITO DEMOCRATICO;#ff0000
21;5;PINI Giuditta;PARTITO DEMOCRATICO;#ff0000
