Row;Angle;Name;Party;Color
20;1;Achelwilm Doris;The Left Party;#ff00ff
22;1;Akbulut Gökay;The Left Party;#ff00ff
24;1;Barrientos Simone;The Left Party;#ff00ff
26;1;Bartsch Dr. Dietmar;The Left Party;#ff00ff
28;1;Beutin Lorenz Gösta;The Left Party;#ff00ff
30;1;Birkwald Matthias W.;The Left Party;#ff00ff
32;1;Bluhm-Förster Heidrun;The Left Party;#ff00ff
34;1;Brandt Michel;The Left Party;#ff00ff
36;1;Buchholz Christine;The Left Party;#ff00ff
38;1;Bull-Bischoff Dr. Birke;The Left Party;#ff00ff
40;1;Cezanne Jörg;The Left Party;#ff00ff
42;1;Dağdelen Sevim;The Left Party;#ff00ff
44;1;De Masi Fabio;The Left Party;#ff00ff
46;1;Dehm Dr. Diether;The Left Party;#ff00ff
48;1;Domscheit-Berg Anke;The Left Party;#ff00ff
50;1;Ernst Klaus;The Left Party;#ff00ff
52;1;Ferschl Susanne;The Left Party;#ff00ff
54;1;Freihold Brigitte;The Left Party;#ff00ff
56;1;Gabelmann Sylvia;The Left Party;#ff00ff
58;1;Gohlke Nicole;The Left Party;#ff00ff
60;1;Gysi Dr. Gregor;The Left Party;#ff00ff
20;2;Hänsel Heike;The Left Party;#ff00ff
22;2;Hahn Dr. André;The Left Party;#ff00ff
24;2;Höhn Matthias;The Left Party;#ff00ff
26;2;Hunko Andrej;The Left Party;#ff00ff
28;2;Jelpke Ulla;The Left Party;#ff00ff
30;2;Kassner Kerstin;The Left Party;#ff00ff
32;2;Kessler Dr. Achim;The Left Party;#ff00ff
34;2;Kipping Katja;The Left Party;#ff00ff
36;2;Korte Jan;The Left Party;#ff00ff
38;2;Krellmann Jutta;The Left Party;#ff00ff
40;2;Lay Caren;The Left Party;#ff00ff
42;2;Leidig Sabine;The Left Party;#ff00ff
44;2;Lenkert Ralph;The Left Party;#ff00ff
46;2;Leutert Michael;The Left Party;#ff00ff
48;2;Liebich Stefan;The Left Party;#ff00ff
50;2;Lötzsch Dr. Gesine;The Left Party;#ff00ff
52;2;Lutze Thomas;The Left Party;#ff00ff
54;2;Meiser Pascal;The Left Party;#ff00ff
56;2;Möhring Cornelia;The Left Party;#ff00ff
58;2;Mohamed Ali Amira;The Left Party;#ff00ff
60;2;Movassat Niema;The Left Party;#ff00ff
20;3;Müller (Potsdam) Norbert;The Left Party;#ff00ff
22;3;Nastic Zaklin;The Left Party;#ff00ff
24;3;Neu Dr. Alexander S.;The Left Party;#ff00ff
26;3;Nord Thomas;The Left Party;#ff00ff
28;3;Pau Petra;The Left Party;#ff00ff
30;3;Pellmann Sören;The Left Party;#ff00ff
32;3;Perli Victor;The Left Party;#ff00ff
34;3;Pflüger Tobias;The Left Party;#ff00ff
36;3;Remmers Ingrid;The Left Party;#ff00ff
38;3;Renner Martina;The Left Party;#ff00ff
40;3;Riexinger Bernd;The Left Party;#ff00ff
42;3;Schreiber Eva-Maria;The Left Party;#ff00ff
44;3;Sitte Dr. Petra;The Left Party;#ff00ff
46;3;Sommer Helin Evrim;The Left Party;#ff00ff
48;3;Steinke Kersten;The Left Party;#ff00ff
50;3;Straetmanns Friedrich;The Left Party;#ff00ff
52;3;Tackmann Dr. Kirsten;The Left Party;#ff00ff
54;3;Tatti Jessica;The Left Party;#ff00ff
56;3;Ulrich Alexander;The Left Party;#ff00ff
58;3;Vogler Kathrin;The Left Party;#ff00ff
60;3;Wagenknecht Dr. Sahra;The Left Party;#ff00ff
20;4;Wagner Andreas;The Left Party;#ff00ff
22;4;Weinberg Harald;The Left Party;#ff00ff
24;4;Werner Katrin;The Left Party;#ff00ff
26;4;Zdebel Hubertus;The Left Party;#ff00ff
28;4;Zimmermann Pia;The Left Party;#ff00ff
30;4;Zimmermann (Zwickau) Sabine;The Left Party;#ff00ff
32;4;Annen Niels;SPD;#ff0000
34;4;Arndt-Brauer Ingrid;SPD;#ff0000
36;4;Bach Bela;SPD;#ff0000
38;4;Baehrens Heike;SPD;#ff0000
40;4;Bahr Ulrike;SPD;#ff0000
42;4;Baradari Nezahat;SPD;#ff0000
44;4;Barnett Doris;SPD;#ff0000
46;4;Bartke Dr. Matthias;SPD;#ff0000
48;4;Bartol Sören;SPD;#ff0000
50;4;Bas Bärbel;SPD;#ff0000
52;4;Binding (Heidelberg) Lothar;SPD;#ff0000
54;4;Brecht Dr. Eberhard;SPD;#ff0000
56;4;Breymaier Leni;SPD;#ff0000
58;4;Brunner Dr. Karl-Heinz;SPD;#ff0000
60;4;Budde Katrin;SPD;#ff0000
