ID_Partito;Voti;Data Elezioni
LEGA;5321537;2018
FORZA ITALIA;4358004;2018
FRATELLI D'ITALIA CON GIORGIA MELONI;1286606;2018
NOI CON L'ITALIA - UDC;361402;2018
MOVIMENTO 5 STELLE;9733928;2018
PARTITO DEMOCRATICO;5783360;2018
"""+Europa""";714821;2018
ITALIA EUROPA INSIEME;163454;2018
CIVICA POPOLARE LORENZIN;157282;2018
SVP - PATT;128282;2018
LIBERI E UGUALI;991159;2018
POTERE AL POPOLO!;320493;2018
CASAPOUND ITALIA;259718;2018
IL POPOLO DELLA FAMIGLIA;211759;2018
ITALIA AGLI ITALIANI;149907;2018
PARTITO COMUNISTA;101648;2018
PARTITO VALORE UMANO;38749;2018
PER UNA SINISTRA RIVOLUZIONARIA;32623;2018
PARTITO REPUBBLICANO ITALIANO - ALA;27384;2018
AUTODETERMINATZIONE;20468;2018
GRANDE NORD;17507;2018
LISTA DEL POPOLO PER LA COSTITUZIONE;10356;2018
DESTRE UNITE - FORCONI;6229;2018
DEMOCRAZIA CRISTIANA;5532;2018
PATTO PER L'AUTONOMIA;5015;2018
SIAMO;1402;2018
SMS - STATO MODERNO SOLIDALE;1384;2018
RINASCIMENTO MIR;552;2018
PARTITO DEMOCRATICO;8400851;2013
SINISTRA ECOLOGIA LIBERTA';911486;2013
CENTRO DEMOCRATICO;162418;2013
IL MEGAFONO - LISTA CROCETTA;138564;2013
PARTITO SOCIALISTA ITALIANO;57606;2013
MODERATI;14512;2013
IL POPOLO DELLA LIBERTA';6828994;2013
LEGA NORD;1328534;2013
FRATELLI D'ITALIA;590645;2013
LA DESTRA;221368;2013
PARTITO PENSIONATI;123237;2013
GRANDE SUD;122262;2013
MIR - MODERATI IN RIVOLUZIONE;69838;2013
MPA - PARTITO DEI SICILIANI;48539;2013
INTESA POPOLARE;24870;2013
CANTIERE POPOLARE;21675;2013
BASTA TASSE;19202;2013
LIBERI PER UNA ITALIA EQUA;6488;2013
MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7286550;2013
CON MONTI PER L'ITALIA;2797734;2013
RIVOLUZIONE CIVILE;551064;2013
FARE PER FERMARE IL DECLINO;278470;2013
PARTITO COMUNISTA DEI LAVORATORI;113967;2013
FORZA NUOVA;81578;2013
LISTA AMNISTIA GIUSTIZIA LIBERTA';63074;2013
FIAMMA TRICOLORE;52060;2013
IO AMO L'ITALIA;40660;2013
CASAPOUND ITALIA;40716;2013
INDIPENDENZA VENETA;29690;2013
LG.VENETA REPUBBLICA;20361;2013
DIMEZZIAMO LO STIPENDIO AI POLITICI;7965;2013
NO ALLA CHIUSURA DEGLI OSPEDALI;7553;2013
VIVA L'ITALIA;4767;2013
PS D'AZ.;18569;2013
CIVILTA' RURALE SVILUPPO;13955;2013
RIALZATI ABRUZZO;11821;2013
P.COM.MARX-LEN.;9599;2013
VENETO STATO;8973;2013
PRI;8124;2013
DONNE PER L'ITALIA;7610;2013
INDIPENDENZA PER LA SARDEGNA;7509;2013
UNIONE PADANA;7317;2013
POPOLARI UNITI;6584;2013
I PIRATI;6252;2013
RIFORMISTI ITALIANI;5916;2013
MERIS;5770;2013
PARTITO DI ALTERNATIVA COMUNISTA;5185;2013
PAS - FLB&LT;4742;2013
PROGETTO NAZIONALE;3826;2013
LA BASE;3383;2013
TUTTI INSIEME PER L'ITALIA;3092;2013
RIFONDAZIONE MISSINA ITALIANA;2698;2013
MOVIMENTO EUDONNA;2302;2013
COSTRUIRE DEMOCRAZIA;2658;2013
MOVIMENTO PROGETTO ITALIA - MID;1441;2013
PARTITO DEL SUD;1263;2013
MOVIMENTO NATURALISTA ITALIANO;1131;2013
COMUNITA' LUCANA;883;2013
PARTITO DEMOCRATICO;11042452;2008
DI PIETRO ITALIA DEI VALORI;1414730;2008
IL POPOLO DELLA LIBERTA';12511258;2008
LEGA NORD;2642280;2008
MOVIMENTO PER L'AUTONOMIA ALL.PER IL SUD;355361;2008
LA SINISTRA L'ARCOBALENO;1053228;2008
UNIONE DI CENTRO;1866356;2008
LA DESTRA - FIAMMA TRICOLORE;686926;2008
M.E.D.A.;19899;2008
P.COM.MARX-LEN.;8094;2008
SARDIGNA NATZIONE;6972;2008
LEGA SUD;7109;2008
FORZA NUOVA;85564;2008
P.LIBERALE ITALIANO;100759;2008
PS D'AZ.;15280;2008
PARTITO SOCIALISTA;284837;2008
SINISTRA CRITICA;136679;2008
POPOLARI UNITI;12389;2008
PER IL BENE COMUNE;105827;2008
L'INTESA VENETA;4600;2008
PARTITO COMUNISTA DEI LAVORATORI;180442;2008
LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;45623;2008
LG.VENETA REPUBBLICA;47647;2008
PARTITO DEL SUD-ALLEANZA MERIDIONALE;3727;2008
SUD LIBERO;1795;2008
MOVIMENTO P.P.A.;1597;2008
LISTA DEI GRILLI PARLANTI;49535;2008
UNIONE DEMOCRATICA PER I CONSUMATORI;78139;2008
FRONTE INDIPENDENTISTA LOMBARDIA;5234;2008
DEMOCRATICI SINISTRA;5977347;2006
DL.LA MARGHERITA;3664903;2006
RIFONDAZIONE COMUNISTA;2518361;2006
INSIEME CON L'UNIONE;1423003;2006
DI PIETRO ITALIA DEI VALORI;986191;2006
LA ROSA NEL PUGNO;851604;2006
U.D.EUR POPOLARI;477226;2006
PARTITO PENSIONATI;340565;2006
I SOCIALISTI ;126431;2006
ALLEANZA LOMBARDA AUTONOMIA;90855;2006
LISTA CONSUMATORI;72199;2006
L'ULIVO;59498;2006
PSDI;57343;2006
REPUBBLICANI EUROPEI;51219;2006
LIGA FRONTE VENETO;23214;2006
DEMOCRAZIA CRISTIANI UNITI;5442;2006
FORZA ITALIA;8202890;2006
ALLEANZA NAZIONALE;4235208;2006
UNIONE DI CENTRO;2309442;2006
LEGA NORD;1530667;2006
ALTERNATIVA SOCIALE MUSSOLINI;214526;2006
FIAMMA TRICOLORE;204498;2006
DEM.CRIST.-NUOVO PSI;190717;2006
PENSIONATI UNITI;61681;2006
PRI;45098;2006
AMBIENTA-LISTA;36458;2006
NUOVA SICILIA;33485;2006
NO EURO;30527;2006
PATTO PER LA SICILIA;20825;2006
P.LIBERALE ITALIANO;15657;2006
PATTO CRIST.ESTESO;9735;2006
RIFORMATORI LIBERALI;7571;2006
S.O.S. ITALIA;4993;2006
ALLEANZA SICILIANA;36194;2006
DIMENSIONE CHRISTIANA;2441;2006
FORZA ROMA;13338;2006
IRS;10881;2006
ITALIA MODERATA;2076;2006
LEGA SUD;2485;2006
MOV.DEM.SIC-NOI SIC.;6556;2006
MOV.IDEA SOC. RAUTI;3024;2006
MOVIMENTO TRIVENETO;7435;2006
P.COM.MARX-LEN.;25941;2006
PARTITO DONNE D'EUROPA;4212;2006
PENSIONI E LAVORO;19759;2006
PER IL SUD;9985;2006
PROGETTO NORDEST;93172;2006
PS D'AZ.;16733;2006
SARDIGNA NATZIONE;8412;2006
SOLIDARIETA';5470;2006
TERZO POLO;13260;2006
UN.FEDERALISTA MERIDIONALE;1862;2006
CASA DELLE LIBERTA';14406519;2001
L'ULIVO;13106860;2001
RIFONDAZIONE COMUNISTA;1708707;2001
LISTA DI PIETRO;1140489;2001
DEMOCRAZIA EUROPEA;1066908;2001
PANNELLA-BONINO;677725;2001
FIAMMA TRICOLORE;340221;2001
ALLEANZA LOMBARDA AUTONOMIA;308559;2001
SVP-L'ULIVO;175635;2001
LIGA FRONTE VENETO;138134;2001
SVP;126177;2001
VA' PENSIERO PADANIA;119058;2001
FRONTE NAZIONALE;98132;2001
DEM.EUR-SOC.AUT;79002;2001
PARTITO PENSIONATI;78572;2001
FORZA NUOVA;39545;2001
VERDI-VERDI;35743;2001
PS D'AZ-SARD.NATZ.;32822;2001
VALLEE D'AOSTE;32429;2001
FILOGRANA SALENTO;21857;2001
NOI SICILIANI;20761;2001
LEGA D'AZIONE MERIDIONALE;19914;2001
LIBDEM.BASTA;19913;2001
FI-LG NORD (AOSTA);14817;2001
P.LIBERAL POPOLARE;10301;2001
LISTA AMADU;9203;2001
LISTA ALTERNATIVA;7704;2001
FORZA CHIAPPETTA;6932;2001
DIE FREIHEITLICHEN;5354;2001
LISTA FRANCO GRECO;4284;2001
MOVIMENTO DELLE LIBERTA';4023;2001
AN (AOSTA);3686;2001
RENATO FIORELLI;2924;2001
TERZO POLO AUTONOMIA;2392;2001
COMUNISMO;2159;2001
GIUSEPPE BOSCOLO;1058;2001
PARLAMENTARE INDIP.;993;2001
GIUSTIZIA-PROGRESSO;950;2001
TOSCANA GRANDUC-FED.;625;2001
PA.C.I.;175;2001
L'ULIVO;13013276;1996
POLO PER LE LIBERTA';12185020;1996
LEGA NORD;3394733;1996
PROGRESSISTI (1996);934974;1996
MOV.SOC.TRICOLORE;747487;1996
PANNELLA-SGARBI;509826;1996
L'ULIVO-PS.D'AZ.;421331;1996
SOCIALISTA;286425;1996
L'ABETE-SVP-PATT;178425;1996
MANI PULITE;109113;1996
ALLEANZA LOMBARDA AUTONOMIA;106313;1996
UNIONE NORD EST;72541;1996
NOI SICILIANI-FNS;71841;1996
LEGA D'AZIONE MERIDIONALE;66750;1996
VERDI-VERDI;61434;1996
ALL.PENSIONATI EUR.;60640;1996
DEMOCRAZIA SOCIALE;60016;1996
FED.LISTE CIVICHE IT;55793;1996
SARDIGNA NATZIONE;44713;1996
POUR VALLEE D'AOSTE;29538;1996
PIEMONTE NAZ.EUROPA;26951;1996
AMBIENTALISTI;26756;1996
GR.INDIP.LIBERTA';23301;1996
UNION FUR SUD TIROL;19330;1996
MOV.AUT.TOSCANO;18691;1996
PATTO PER L'AGRO;17980;1996
RINNOVAMENTO;16216;1996
VALLE D'AOSTA-ULIVO;10371;1996
DESTRA DI POPOLO;6710;1996
PART.LEGGE NATURALE;5842;1996
DEMOCR.PROGRESSO;5688;1996
RIFONDAZIONE COMUNISTA;5681;1996
MOV.POP.MORALIZ.;5297;1996
ALPI AZZURRE;5144;1996
ALT.DEM.C.ROMANI;4524;1996
P.POP.PROGRESSISTA;4450;1996
PER UN PAESE NORMALE;3976;1996
REG.DOLOMITICA EUR;2898;1996
NORD LIBERO AUT.;2411;1996
COLPISCI IL CENTRO;2178;1996
PROGRESSISTI ;10881320;1994
POLO DELLE LIBERTA';6570468;1994
PATTO PER L'ITALIA;5519090;1994
POLO BUON GOVERNO;4544573;1994
ALLEANZA NAZIONALE;2077934;1994
ALTRI GRUPPI;835028;1994
PANNELLA-RIFORMATORI;767765;1994
ALTRE LEGHE;341725;1994
PARTITO PENSIONATI;250637;1994
LEGA ALPINA LUMBARDA;246046;1994
LISTE AUTONOMISTE;233361;1994
SVP;217137;1994
FI-CCD;149965;1994
PSI;103490;1994
VERDI FEDERALISTI;100418;1994
PS D'AZ.;88225;1994
VERDI-VERDI;68218;1994
SOCIALDEMOCRAZIA;66589;1994
LA RETE-MOV.DEM.;12560;1994
DC;9088494;1992
PDS;5682888;1992
PSI;4523873;1992
LEGA LOMBARDA;2732461;1992
RIFONDAZIONE COMUNISTA;2171950;1992
MSI-DN;2171215;1992
PRI;1565142;1992
FEDERAZIONE DEI VERDI;1027303;1992
PLI;939159;1992
PSDI;853895;1992
LISTA REFERENDUM;332318;1992
LA RETE-MOV.DEM.;239868;1992
