

Ente;Candidato;Liste/Gruppi;Voti lista;;
ITALIA;CANDIDATI UNINOMINALI ;LEGA;5321537;;
ITALIA;;FORZA ITALIA;4358004;;
ITALIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1286606;;
ITALIA;;NOI CON L'ITALIA - UDC;361402;;
ITALIA;CANDIDATI UNINOMINALI ;MOVIMENTO 5 STELLE;9733928;;
ITALIA;CANDIDATI UNINOMINALI ;PARTITO DEMOCRATICO;5783360;;
ITALIA;;+EUROPA;714821;;
ITALIA;;ITALIA EUROPA INSIEME;163454;;
ITALIA;;CIVICA POPOLARE LORENZIN;157282;;
ITALIA;;SVP - PATT;128282;;
ITALIA;CANDIDATI UNINOMINALI ;LIBERI E UGUALI;991159;;
ITALIA;CANDIDATI UNINOMINALI ;POTERE AL POPOLO!;320493;;
ITALIA;CANDIDATI UNINOMINALI ;CASAPOUND ITALIA;259718;;
ITALIA;CANDIDATI UNINOMINALI ;IL POPOLO DELLA FAMIGLIA;211759;;
ITALIA;CANDIDATI UNINOMINALI ;ITALIA AGLI ITALIANI;149907;;
ITALIA;CANDIDATI UNINOMINALI ;PARTITO COMUNISTA;101648;;
ITALIA;CANDIDATI UNINOMINALI ;PARTITO VALORE UMANO;38749;;
ITALIA;CANDIDATI UNINOMINALI ;PER UNA SINISTRA RIVOLUZIONARIA;32623;;
ITALIA;CANDIDATI UNINOMINALI ;PARTITO REPUBBLICANO ITALIANO - ALA;27384;;
ITALIA;CANDIDATI UNINOMINALI ;AUTODETERMINATZIONE;20468;;
ITALIA;CANDIDATI UNINOMINALI ;GRANDE NORD;17507;;
ITALIA;CANDIDATI UNINOMINALI ;LISTA DEL POPOLO PER LA COSTITUZIONE;10356;;
ITALIA;CANDIDATI UNINOMINALI ;DESTRE UNITE - FORCONI;6229;;
ITALIA;CANDIDATI UNINOMINALI ;DEMOCRAZIA CRISTIANA;5532;;
ITALIA;CANDIDATI UNINOMINALI ;PATTO PER L'AUTONOMIA;5015;;
ITALIA;CANDIDATI UNINOMINALI ;SIAMO;1402;;
ITALIA;CANDIDATI UNINOMINALI ;SMS - STATO MODERNO SOLIDALE;1384;;
ITALIA;CANDIDATI UNINOMINALI ;RINASCIMENTO MIR;552;;
Ente;Liste/Gruppi;Voti;
ESTERO;PARTITO DEMOCRATICO;279489;;
ESTERO;LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;226885;;
ESTERO;MOVIMENTO 5 STELLE;182715;;
ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;110879;;
ESTERO;USEI;68233;;
ESTERO;LIBERI E UGUALI;57761;;
ESTERO;+EUROPA;55625;;
ESTERO;CIVICA POPOLARE LORENZIN;32660;;
ESTERO;NOI CON L'ITALIA - UDC;10856;;
ESTERO;MOVIMENTO DELLE LIBERTA';6960;;
