

Ente;Candidato;Liste/Gruppi;Voti lista;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PRODI ROMANO;DEMOCRATICI SINISTRA;5977347;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DL.LA MARGHERITA;3664903;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;RIFONDAZIONE COMUNISTA;2518361;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;INSIEME CON L'UNIONE;1423003;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DI PIETRO ITALIA DEI VALORI;986191;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LA ROSA NEL PUGNO;851604;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;U.D.EUR POPOLARI;477226;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PARTITO PENSIONATI;340565;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;I SOCIALISTI ;126431;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;ALLEANZA LOMBARDA AUTONOMIA;90855;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LISTA CONSUMATORI;72199;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;L'ULIVO;59498;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PSDI;57343;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;REPUBBLICANI EUROPEI;51219;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LIGA FRONTE VENETO;23214;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DEMOCRAZIA CRISTIANI UNITI;5442;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);BERLUSCONI SILVIO;FORZA ITALIA;8202890;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;ALLEANZA NAZIONALE;4235208;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;UNIONE DI CENTRO;2309442;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LEGA NORD;1530667;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;ALTERNATIVA SOCIALE MUSSOLINI;214526;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;FIAMMA TRICOLORE;204498;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DEM.CRIST.-NUOVO PSI;190717;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PENSIONATI UNITI;61681;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PRI;45098;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;AMBIENTA-LISTA;36458;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;NUOVA SICILIA;33485;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;NO EURO;30527;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PATTO PER LA SICILIA;20825;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;P.LIBERALE ITALIANO;15657;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PATTO CRIST.ESTESO;9735;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;RIFORMATORI LIBERALI;7571;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;S.O.S. ITALIA;4993;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);MUSUMECI SEBASTIANO;ALLEANZA SICILIANA;36194;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DI MARTINO OSCAR QUINTINO;DIMENSIONE CHRISTIANA;2441;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DI FRANCESCO DARIO;FORZA ROMA;13338;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SALE GAVINO;IRS;10881;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SABELLA ANTONIO;ITALIA MODERATA;2076;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);VESTUTO GIANFRANCO;LEGA SUD;2485;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);MORANA SALVATORE;MOV.DEM.SIC-NOI SIC.;6556;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);RAUTI  GIUSEPPE;MOV.IDEA SOC. RAUTI;3024;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);MARSAN ANNALISA;MOVIMENTO TRIVENETO;7435;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SAVIO DOMENICO;P.COM.MARX-LEN.;25941;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PADOVANO SPANO ADRIANA;PARTITO DONNE D'EUROPA;4212;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SARAO  UGO;PENSIONI E LAVORO;19759;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);IANNANTUONI DOMENICO;PER IL SUD;9985;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PANTO GIORGIO;PROGETTO NORDEST;93172;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DELITALA  ANTONIO;PS D'AZ.;16733;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);CUMPOSTU SEBASTIANO;SARDIGNA NATZIONE;8412;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PIROVANO PIERO;SOLIDARIETA';5470;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SCOTTI VINCENZO;TERZO POLO;13260;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);VENOSI  ALFONSO;UN.FEDERALISTA MERIDIONALE;1862;;
Ente;Liste/Gruppi;Voti;
ESTERO;L'UNIONE;393357;;
ESTERO;FORZA ITALIA;186386;;
ESTERO;ASS.ITAL.SUD AMERICA;85745;;
ESTERO;PER ITALIA NEL MONDO;65055;;
ESTERO;UNIONE DI CENTRO;57278;;
ESTERO;DI PIETRO ITALIA DEI VALORI;26486;;
ESTERO;LEGA NORD;18544;;
ESTERO;U.D.EUR POPOLARI;13507;;
ESTERO;U.S.E.I.;12552;;
ESTERO;P.ITALIANI NEL MONDO;10888;;
ESTERO;L' ALTRA SICILIA PER IL SUD;9497;;
ESTERO;FIAMMA TRICOLORE;8575;;
ESTERO;ALT.IND.ITAL.ESTERO;3191;;
