

Ente;Liste/Gruppi;Voti;
ITALIA;L'ULIVO;13013276;;
ITALIA;POLO PER LE LIBERTA';12185020;;
ITALIA;LEGA NORD;3394733;;
ITALIA;PROGRESSISTI (1996);934974;;
ITALIA;MOV.SOC.TRICOLORE;747487;;
ITALIA;PANNELLA-SGARBI;509826;;
ITALIA;L'ULIVO-PS.D'AZ.;421331;;
ITALIA;SOCIALISTA;286425;;
ITALIA;L'ABETE-SVP-PATT;178425;;
ITALIA;MANI PULITE;109113;;
ITALIA;ALLEANZA LOMBARDA AUTONOMIA;106313;;
ITALIA;UNIONE NORD EST;72541;;
ITALIA;NOI SICILIANI-FNS;71841;;
ITALIA;LEGA D'AZIONE MERIDIONALE;66750;;
ITALIA;VERDI-VERDI;61434;;
ITALIA;ALL.PENSIONATI EUR.;60640;;
ITALIA;DEMOCRAZIA SOCIALE;60016;;
ITALIA;FED.LISTE CIVICHE IT;55793;;
ITALIA;SARDIGNA NATZIONE;44713;;
ITALIA;POUR VALLEE D'AOSTE;29538;;
ITALIA;PIEMONTE NAZ.EUROPA;26951;;
ITALIA;AMBIENTALISTI;26756;;
ITALIA;GR.INDIP.LIBERTA';23301;;
ITALIA;UNION FUR SUD TIROL;19330;;
ITALIA;MOV.AUT.TOSCANO;18691;;
ITALIA;PATTO PER L'AGRO;17980;;
ITALIA;RINNOVAMENTO;16216;;
ITALIA;VALLE D'AOSTA-ULIVO;10371;;
ITALIA;DESTRA DI POPOLO;6710;;
ITALIA;PART.LEGGE NATURALE;5842;;
ITALIA;DEMOCR.PROGRESSO;5688;;
ITALIA;RIFONDAZIONE COMUNISTA;5681;;
ITALIA;MOV.POP.MORALIZ.;5297;;
ITALIA;ALPI AZZURRE;5144;;
ITALIA;ALT.DEM.C.ROMANI;4524;;
ITALIA;P.POP.PROGRESSISTA;4450;;
ITALIA;PER UN PAESE NORMALE;3976;;
ITALIA;REG.DOLOMITICA EUR;2898;;
ITALIA;NORD LIBERO AUT.;2411;;
ITALIA;COLPISCI IL CENTRO;2178;;
