2018;2018;2018;2018;2013;2013;2013;2013;2008;2008;2008;2008;2006;2006;2006;2006;2001;2001;2001;2001;1996;1996;1996;1996;1994;1994;1994;1994;1992;1992;1992;1992;1987;1987;1987;1987;1983;1983;1983;1983;1979;1979;1979;1979;1976;1976;1976;1976;1972;1972;1972;1972;1968;1968;1968;1968;1963;1963;1963;1963;1958;1958;1958;1958;1953;1953;1953;1953;1948;1948;1948;1948
Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti
ITALIA;CANDIDATI UNINOMINALI ;LEGA;5321537;ITALIA;PIER LUIGI BERSANI ;PARTITO DEMOCRATICO;8400851;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);WALTER VELTRONI ;PARTITO DEMOCRATICO;11042452;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PRODI ROMANO;DEMOCRATICI SINISTRA;5977347;ITALIA;;CASA DELLE LIBERTA';14406519;ITALIA;;L'ULIVO;13013276;ITALIA;;PROGRESSISTI ;10881320;ITALIA;;DC;9088494;ITALIA;;DC;10897036;ITALIA;;DC;10077204;ITALIA;;DC;12010716;ITALIA;;DC;12227353;ITALIA;;DC;11465529;ITALIA;;DC;10972114;ITALIA;;DC;10017975;ITALIA;;DC;10780954;ITALIA;;DC;9660210;ITALIA;;DC;10899640
ITALIA;;FORZA ITALIA;4358004;ITALIA;;SINISTRA ECOLOGIA LIBERTA';911486;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DI PIETRO ITALIA DEI VALORI;1414730;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DL.LA MARGHERITA;3664903;ITALIA;;L'ULIVO;13106860;ITALIA;;POLO PER LE LIBERTA';12185020;ITALIA;;POLO DELLE LIBERTA';6570468;ITALIA;;PDS;5682888;ITALIA;;PCI;9181579;ITALIA;;PCI;9577071;ITALIA;;PCI;9855951;ITALIA;;PCI;10637772;ITALIA;;PCI-PSIUP;8312828;ITALIA;;PCI-PSIUP;8585601;ITALIA;;PCI;6933310;ITALIA;;PCI;5700952;ITALIA;;PCI;4910077;ITALIA;;FR.DEMOCR.POPOLARE;6969122
ITALIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1286606;ITALIA;;CENTRO DEMOCRATICO;162418;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';12511258;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;RIFONDAZIONE COMUNISTA;2518361;ITALIA;;RIFONDAZIONE COMUNISTA;1708707;ITALIA;;LEGA NORD;3394733;ITALIA;;PATTO PER L'ITALIA;5519090;ITALIA;;PSI;4523873;ITALIA;;PSI;3535457;ITALIA;;PSI;3539593;ITALIA;;PSI;3252410;ITALIA;;PSI;3208164;ITALIA;;PSI;3225707;ITALIA;;PSU;4354906;ITALIA;;PSI;3849495;ITALIA;;PSI;3682945;ITALIA;;PSI;2891605;ITALIA;;BLOCCO NAZIONALE;1222419
ITALIA;;NOI CON L'ITALIA - UDC;361402;ITALIA;;IL MEGAFONO - LISTA CROCETTA;138564;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LEGA NORD;2642280;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;INSIEME CON L'UNIONE;1423003;ITALIA;;LISTA DI PIETRO;1140489;ITALIA;;PROGRESSISTI (1996);934974;ITALIA;;POLO BUON GOVERNO;4544573;ITALIA;;LEGA LOMBARDA;2732461;ITALIA;;MSI-DN;2121026;ITALIA;;MSI-DN;2283524;ITALIA;;MSI-DN;1780950;ITALIA;;MSI-DN;2086430;ITALIA;;MSI;2766986;ITALIA;;PLI;1943795;ITALIA;;PLI;2043323;ITALIA;;PSDI;1164280;ITALIA;;PART.NAZ.MONARCHICO;1581128;ITALIA;;UNITA' SOCIALISTA;943219
ITALIA;CANDIDATI UNINOMINALI ;MOVIMENTO 5 STELLE;9733928;ITALIA;;PARTITO SOCIALISTA ITALIANO;57606;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;MOVIMENTO PER L'AUTONOMIA ALL.PER IL SUD;355361;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DI PIETRO ITALIA DEI VALORI;986191;ITALIA;;DEMOCRAZIA EUROPEA;1066908;ITALIA;;MOV.SOC.TRICOLORE;747487;ITALIA;;ALLEANZA NAZIONALE;2077934;ITALIA;;RIFONDAZIONE COMUNISTA;2171950;ITALIA;;PRI;1248641;ITALIA;;PRI;1452279;ITALIA;;PSDI;1320729;ITALIA;;PSDI;974940;ITALIA;;PSDI;1613810;ITALIA;;MSI;1304847;ITALIA;;PSDI;1743870;ITALIA;;MSI;1150051;ITALIA;;MSI;1473645;ITALIA;;UNITA' SOC.-PRI;607792
ITALIA;CANDIDATI UNINOMINALI ;PARTITO DEMOCRATICO;5783360;ITALIA;;MODERATI;14512;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;1053228;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LA ROSA NEL PUGNO;851604;ITALIA;;PANNELLA-BONINO;677725;ITALIA;;PANNELLA-SGARBI;509826;ITALIA;;ALTRI GRUPPI;835028;ITALIA;;MSI-DN;2171215;ITALIA;;PSI-PSDI-PR;962215;ITALIA;;PSDI;1184936;ITALIA;;PRI;1053251;ITALIA;;PRI;846415;ITALIA;;PLI;1319175;ITALIA;;PRI;622388;ITALIA;;MSI;1458917;ITALIA;;PLI;1012610;ITALIA;;ALTRI GRUPPI;1313380;ITALIA;;PRI;594178
ITALIA;;#NAME?;714821;ITALIA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';6828994;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PIER FERDINANDO CASINI ;UNIONE DI CENTRO;1866356;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;U.D.EUR POPOLARI;477226;ITALIA;;FIAMMA TRICOLORE;340221;ITALIA;;L'ULIVO-PS.D'AZ.;421331;ITALIA;;PANNELLA-RIFORMATORI;767765;ITALIA;;PRI;1565142;ITALIA;;PSDI;764370;ITALIA;;PLI;834771;ITALIA;;PLI;691718;ITALIA;;PLI;438265;ITALIA;;PRI;918440;ITALIA;;PDIUM;312702;ITALIA;;PDIUM;429412;ITALIA;;P.MONARCHICO POP.;774242;ITALIA;;PSDI;1046301;ITALIA;;IND;544039
ITALIA;;ITALIA EUROPA INSIEME;163454;ITALIA;;LEGA NORD;1328534;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;686926;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PARTITO PENSIONATI;340565;ITALIA;;ALLEANZA LOMBARDA AUTONOMIA;308559;ITALIA;;SOCIALISTA;286425;ITALIA;;ALTRE LEGHE;341725;ITALIA;;FEDERAZIONE DEI VERDI;1027303;ITALIA;;PLI;700330;ITALIA;;P.RAD;548229;ITALIA;;P.RAD;413444;ITALIA;;PLI-PRI-PSDI;334898;ITALIA;;PCI-PSIUP-PS.D'AZ.;189534;ITALIA;;MSI-PDIUM;292349;ITALIA;;PRI;223350;ITALIA;;P.NAZ.MONARCHICO;565045;ITALIA;;PLI;695816;ITALIA;;P.NAZ.MONARCHICO;393510
ITALIA;;CIVICA POPOLARE LORENZIN;157282;ITALIA;;FRATELLI D'ITALIA;590645;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SERGIO RIBOLDI ;M.E.D.A.;19899;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;I SOCIALISTI ;126431;ITALIA;;SVP-L'ULIVO;175635;ITALIA;;L'ABETE-SVP-PATT;178425;ITALIA;;PARTITO PENSIONATI;250637;ITALIA;;PLI;939159;ITALIA;;LISTA VERDE;634182;ITALIA;;PART.NAZ.PENS.;370756;ITALIA;;P.RAD-N.SIN.UN.;365954;ITALIA;;P.RAD;265947;ITALIA;;PPST-PPTT;113452;ITALIA;;PPST;131071;ITALIA;;MSI-PDIUM;212381;ITALIA;;PRI-P.RAD.;363462;ITALIA;;PRI;261713;ITALIA;;MSI;164092
