ID_Partito;Voti;Data Elezioni
LEGA;5698687;2018
FORZA ITALIA;4596956;2018
FRATELLI D'ITALIA CON GIORGIA MELONI;1429550;2018
NOI CON L'ITALIA - UDC;427152;2018
MOVIMENTO 5 STELLE;10732066;2018
PARTITO DEMOCRATICO;6161896;2018
PIU' EUROPA;841468;2018
ITALIA EUROPA INSIEME;190601;2018
CIVICA POPOLARE LORENZIN;178107;2018
SVP - PATT;134651;2018
LIBERI E UGUALI;1114799;2018
POTERE AL POPOLO!;372179;2018
CASAPOUND ITALIA;312432;2018
IL POPOLO DELLA FAMIGLIA;219633;2018
ITALIA AGLI ITALIANI;126543;2018
PARTITO COMUNISTA;106816;2018
PARTITO VALORE UMANO;47953;2018
10 VOLTE MEGLIO;37354;2018
PER UNA SINISTRA RIVOLUZIONARIA;29364;2018
PARTITO REPUBBLICANO ITALIANO - ALA;20943;2018
GRANDE NORD;19846;2018
AUTODETERMINATZIONE;19307;2018
LISTA DEL POPOLO PER LA COSTITUZIONE;9921;2018
PATTO PER L'AUTONOMIA;7079;2018
BLOCCO NAZIONALE PER LE LIBERTA';3628;2018
SIAMO;1428;2018
RINASCIMENTO MIR;772;2018
ITALIA NEL CUORE;574;2018
PARTITO DEMOCRATICO;8646034;2013
SINISTRA ECOLOGIA LIBERTA';1089231;2013
CENTRO DEMOCRATICO;167328;2013
SVP;146800;2013
IL POPOLO DELLA LIBERTA';7332134;2013
LEGA NORD;1390534;2013
FRATELLI D'ITALIA;666765;2013
LA DESTRA;219585;2013
GRANDE SUD - MPA;148248;2013
MIR - MODERATI IN RIVOLUZIONE;82557;2013
PARTITO PENSIONATI;54418;2013
INTESA POPOLARE;26120;2013
LIBERI PER UNA ITALIA EQUA;3239;2013
MOVIMENTO 5 STELLE BEPPEGRILLO.IT;8691406;2013
SCELTA CIVICA CON MONTI PER L'ITALIA;2823842;2013
UNIONE DI CENTRO;608321;2013
FUTURO E LIBERTA';159378;2013
RIVOLUZIONE CIVILE;765189;2013
FARE PER FERMARE IL DECLINO;380044;2013
PARTITO COMUNISTA DEI LAVORATORI;89643;2013
FORZA NUOVA;90047;2013
LISTA AMNISTIA GIUSTIZIA LIBERTA';65022;2013
DIE FREIHEITLICHEN;48317;2013
CASAPOUND ITALIA;47911;2013
FIAMMA TRICOLORE;44408;2013
IO AMO L'ITALIA;42603;2013
INDIPENDENZA VENETA;33217;2013
LIBERALI PER L'ITALIA - PLI;27964;2013
PS D'AZ.;18592;2013
LG.VENETA REPUBBLICA;15838;2013
VOTO DI PROTESTA;12743;2013
VENETO STATO;11398;2013
RIFORMISTI ITALIANI;8248;2013
INDIPENDENZA PER LA SARDEGNA;7471;2013
PRI;6910;2013
MERIS;5897;2013
PARTITO DI ALTERNATIVA COMUNISTA;5196;2013
I PIRATI;4577;2013
MOVIMENTO PROGETTO ITALIA - MID;3957;2013
RIFONDAZIONE MISSINA ITALIANA;3091;2013
POPOLARI UNITI;2992;2013
PROGETTO NAZIONALE;2870;2013
MOVIMENTO P.P.A.;1526;2013
UNIONE POP.;1475;2013
TUTTI INSIEME PER L'ITALIA;1485;2013
STAMINALI D'ITALIA;586;2013
DEMOCRAZIA ATEA;598;2013
PARTITO DEMOCRATICO;12095306;2008
DI PIETRO ITALIA DEI VALORI;1594024;2008
IL POPOLO DELLA LIBERTA';13629464;2008
LEGA NORD;3024543;2008
MOVIMENTO PER L'AUTONOMIA ALL.PER IL SUD;410499;2008
LA SINISTRA L'ARCOBALENO;1124298;2008
UNIONE DI CENTRO;2050229;2008
LA DESTRA - FIAMMA TRICOLORE;884961;2008
M.E.D.A.;16483;2008
DIE FREIHEITLICHEN;28340;2008
SVP;147718;2008
SARDIGNA NATZIONE;7176;2008
LEGA SUD;4399;2008
FORZA NUOVA;109699;2008
P.LIBERALE ITALIANO;104053;2008
PS D'AZ.;14860;2008
PARTITO SOCIALISTA;355495;2008
ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;135535;2008
SINISTRA CRITICA;168916;2008
PER IL BENE COMUNE;119569;2008
IL LOTO;1797;2008
L'INTESA VENETA;2388;2008
PARTITO DI ALTERNATIVA COMUNISTA;1993;2008
PARTITO COMUNISTA DEI LAVORATORI;208296;2008
UNION FUR SUD TIROL;12981;2008
LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;13992;2008
LG.VENETA REPUBBLICA;31353;2008
MOVIMENTO P.P.A.;946;2008
LISTA DEI GRILLI PARLANTI;66835;2008
UNIONE DEMOCRATICA PER I CONSUMATORI;91106;2008
L'ULIVO;11930983;2006
RIFONDAZIONE COMUNISTA;2229464;2006
LA ROSA NEL PUGNO;990694;2006
