

Ente;Candidato;Liste/Gruppi;Voti lista;;
ITALIA;CANDIDATI UNINOMINALI ;LEGA;5698687;;
ITALIA;;FORZA ITALIA;4596956;;
ITALIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1429550;;
ITALIA;;NOI CON L'ITALIA - UDC;427152;;
ITALIA;CANDIDATI UNINOMINALI ;MOVIMENTO 5 STELLE;10732066;;
ITALIA;CANDIDATI UNINOMINALI ;PARTITO DEMOCRATICO;6161896;;
ITALIA;;+EUROPA;841468;;
ITALIA;;ITALIA EUROPA INSIEME;190601;;
ITALIA;;CIVICA POPOLARE LORENZIN;178107;;
ITALIA;;SVP - PATT;134651;;
ITALIA;CANDIDATI UNINOMINALI ;LIBERI E UGUALI;1114799;;
ITALIA;CANDIDATI UNINOMINALI ;POTERE AL POPOLO!;372179;;
ITALIA;CANDIDATI UNINOMINALI ;CASAPOUND ITALIA;312432;;
ITALIA;CANDIDATI UNINOMINALI ;IL POPOLO DELLA FAMIGLIA;219633;;
ITALIA;CANDIDATI UNINOMINALI ;ITALIA AGLI ITALIANI;126543;;
ITALIA;CANDIDATI UNINOMINALI ;PARTITO COMUNISTA;106816;;
ITALIA;CANDIDATI UNINOMINALI ;PARTITO VALORE UMANO;47953;;
ITALIA;CANDIDATI UNINOMINALI ;10 VOLTE MEGLIO;37354;;
ITALIA;CANDIDATI UNINOMINALI ;PER UNA SINISTRA RIVOLUZIONARIA;29364;;
ITALIA;CANDIDATI UNINOMINALI ;PARTITO REPUBBLICANO ITALIANO - ALA;20943;;
ITALIA;CANDIDATI UNINOMINALI ;GRANDE NORD;19846;;
ITALIA;CANDIDATI UNINOMINALI ;AUTODETERMINATZIONE;19307;;
ITALIA;CANDIDATI UNINOMINALI ;LISTA DEL POPOLO PER LA COSTITUZIONE;9921;;
ITALIA;CANDIDATI UNINOMINALI ;PATTO PER L'AUTONOMIA;7079;;
ITALIA;CANDIDATI UNINOMINALI ;BLOCCO NAZIONALE PER LE LIBERTA';3628;;
ITALIA;CANDIDATI UNINOMINALI ;SIAMO;1428;;
ITALIA;CANDIDATI UNINOMINALI ;RINASCIMENTO MIR;772;;
ITALIA;CANDIDATI UNINOMINALI ;ITALIA NEL CUORE;574;;
Ente;Liste/Gruppi;Voti;
ESTERO;PARTITO DEMOCRATICO;297153;;
ESTERO;LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;240702;;
ESTERO;MOVIMENTO 5 STELLE;197346;;
ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;107236;;
ESTERO;USEI;68291;;
ESTERO;LIBERI E UGUALI;64523;;
ESTERO;+EUROPA;64350;;
ESTERO;CIVICA POPOLARE LORENZIN;32071;;
ESTERO;UNITAL;25555;;
ESTERO;NOI CON L'ITALIA - UDC;12396;;
ESTERO;MOVIMENTO DELLE LIBERTA';10590;;
ESTERO;PARTITO REPUBBLICANO ITALIANO - ALA;2270;;
ESTERO;FREE FLIGHTS TO ITALY;946;;
