

Ente;Liste/Gruppi;Voti;
ITALIA;DC;14209519;;
ITALIA;PCI;12614650;;
ITALIA;PSI;3540309;;
ITALIA;MSI-DN;2238339;;
ITALIA;PSDI;1239492;;
ITALIA;PRI;1135546;;
ITALIA;DEM.PROL;557025;;
ITALIA;PLI;480122;;
ITALIA;P.RAD;394439;;
ITALIA;PPST;184375;;
ITALIA;PCI-PSI-PDUP;26748;;
ITALIA;DC-RV-UV-UVP-PRI;24091;;
ITALIA;DEM.POP-UVP M.REG;20234;;
ITALIA;NPP;10927;;
ITALIA;UNIONE SLOVENA;8183;;
ITALIA;TIROL.;7664;;
ITALIA;POE;5522;;
ITALIA;MOV.IND.TLT;4540;;
ITALIA;P.DEM.;2797;;
ITALIA;PART.SIN.DEM.;1757;;
ITALIA;UN.BEN.CIV.;1299;;
