

Ente;Candidato;Liste/Gruppi;Voti lista;;
ITALIA;PIER LUIGI BERSANI ;PARTITO DEMOCRATICO;8646034;;
ITALIA;;SINISTRA ECOLOGIA LIBERTA';1089231;;
ITALIA;;CENTRO DEMOCRATICO;167328;;
ITALIA;;SVP;146800;;
ITALIA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';7332134;;
ITALIA;;LEGA NORD;1390534;;
ITALIA;;FRATELLI D'ITALIA;666765;;
ITALIA;;LA DESTRA;219585;;
ITALIA;;GRANDE SUD - MPA;148248;;
ITALIA;;MIR - MODERATI IN RIVOLUZIONE;82557;;
ITALIA;;PARTITO PENSIONATI;54418;;
ITALIA;;INTESA POPOLARE;26120;;
ITALIA;;LIBERI PER UNA ITALIA EQUA;3239;;
ITALIA;GIUSEPPE PIERO GRILLO ;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;8691406;;
ITALIA;MARIO MONTI ;SCELTA CIVICA CON MONTI PER L'ITALIA;2823842;;
ITALIA;;UNIONE DI CENTRO;608321;;
ITALIA;;FUTURO E LIBERTA';159378;;
ITALIA;ANTONIO INGROIA ;RIVOLUZIONE CIVILE;765189;;
ITALIA;OSCAR FULVIO GIANNINO ;FARE PER FERMARE IL DECLINO;380044;;
ITALIA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;89643;;
ITALIA;ROBERTO FIORE ;FORZA NUOVA;90047;;
ITALIA;GIACINTO MARCO PANNELLA ;LISTA AMNISTIA GIUSTIZIA LIBERTA';65022;;
ITALIA;ULLI MAIR ;DIE FREIHEITLICHEN;48317;;
ITALIA;SIMONE DI STEFANO ;CASAPOUND ITALIA;47911;;
ITALIA;LUCA ROMAGNOLI ;FIAMMA TRICOLORE;44408;;
ITALIA;MAGDI CRISTIANO ALLAM ;IO AMO L'ITALIA;42603;;
ITALIA;LODOVICO PIZZATI ;INDIPENDENZA VENETA;33217;;
ITALIA;RENATA JANNUZZI ;LIBERALI PER L'ITALIA - PLI;27964;;
ITALIA;GIOVANNI ANGELO COLLI ;PS D'AZ.;18592;;
ITALIA;FABRIZIO COMENCINI ;LG.VENETA REPUBBLICA;15838;;
ITALIA;GIUSEPPE CIRILLO ;VOTO DI PROTESTA;12743;;
ITALIA;ANTONIO GUADAGNINI ;VENETO STATO;11398;;
ITALIA;STEFANIA GABRIELLA ANASTASIA CRAXI ;RIFORMISTI ITALIANI;8248;;
ITALIA;PIETRO MURRU ;INDIPENDENZA PER LA SARDEGNA;7471;;
ITALIA;FRANCO TORCHIA ;PRI;6910;;
ITALIA;SALVATORE MELONI ;MERIS;5897;;
ITALIA;ADRIANO LOTITO ;PARTITO DI ALTERNATIVA COMUNISTA;5196;;
ITALIA;MARCO MARSILI ;I PIRATI;4577;;
ITALIA;MARINA PETRINI ;MOVIMENTO PROGETTO ITALIA - MID;3957;;
ITALIA;RAFFAELE BRUNO ;RIFONDAZIONE MISSINA ITALIANA;3091;;
ITALIA;ANTONIO POTENZA ;POPOLARI UNITI;2992;;
ITALIA;PIERO PUSCHIAVO ;PROGETTO NAZIONALE;2870;;
ITALIA;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1526;;
ITALIA;MARIA DI PRATO ;UNIONE POP.;1475;;
ITALIA;ANTONIO CORSI ;TUTTI INSIEME PER L'ITALIA;1485;;
ITALIA;ERIKA GRACI ;STAMINALI D'ITALIA;586;;
ITALIA;CARLA CORSETTI ;DEMOCRAZIA ATEA;598;;
Ente;Liste/Gruppi;Voti;
ESTERO;PARTITO DEMOCRATICO;287975;;
ESTERO;CON MONTI PER L'ITALIA;181041;;
ESTERO;IL POPOLO DELLA LIBERTA';145751;;
ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;140868;;
ESTERO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;95173;;
ESTERO;USEI;43918;;
ESTERO;ITALIANI PER LA LIBERTA';22348;;
ESTERO;SINISTRA ECOLOGIA LIBERTA';17434;;
ESTERO;RIVOLUZIONE CIVILE;16033;;
ESTERO;UNIONE ITALIANI SUDAMERICA;11330;;
ESTERO;FARE PER FERMARE IL DECLINO;10195;;
ESTERO;PARTITO COMUNISTA;6977;;
ESTERO;INSIEME PER GLI ITALIANI;3838;;
